trip,category,model,horizon_sec,n_episodes,mean_dist_m,drift_m,drift_pct,episode_pass_rate_pct,is_trip_pass
Vw14b,Mountain,Adaptive_Regime_Fusion,20,126,424.82,42.69,11.2,57.9,0
Vw14b,Mountain,Adaptive_Regime_Fusion,30,126,636.11,64.36,11.02,56.3,0
Vw14b,Mountain,Adaptive_Regime_Fusion,60,126,1264.45,120.96,10.19,59.5,0
Vw14b,Mountain,Fixed_Damped_Momentum,10,126,212.77,16.04,9.45,71.4,1
Vw14b,Mountain,Fixed_Damped_Momentum,20,126,424.82,40.17,11.17,64.3,0
Vw14b,Mountain,Fixed_Damped_Momentum,30,126,636.11,66.85,11.96,59.5,0
Vw14b,Mountain,Fixed_Damped_Momentum,60,126,1264.45,143.71,12.67,50.0,0
Vw14b,Mountain,Pure_Kinematics,10,126,212.77,16.48,11.13,72.2,0
Vw14b,Mountain,Pure_Kinematics,20,126,424.82,55.79,17.41,46.8,0
Vw14b,Mountain,Pure_Kinematics,30,126,636.11,119.21,24.01,30.2,0
Vw14b,Mountain,Pure_Kinematics,60,126,1264.45,432.82,42.48,11.9,0
Vw14b,Mountain,Static_TCN,10,126,212.77,26.42,14.09,46.8,0
Vw14b,Mountain,Static_TCN,20,126,424.82,48.05,12.6,50.8,0
Vw14b,Mountain,Static_TCN,30,126,636.11,67.36,11.63,52.4,0
Vw14b,Mountain,Static_TCN,60,126,1264.45,119.85,10.24,55.6,0
Vw15,Stationary,Adaptive_Regime_Fusion,10,5,0.22,0.18,0.0,100.0,1
Vw15,Stationary,Adaptive_Regime_Fusion,20,5,0.43,0.36,0.0,100.0,1
Vw15,Stationary,Adaptive_Regime_Fusion,30,5,0.62,0.4,0.0,100.0,1
Vw15,Stationary,Adaptive_Regime_Fusion,60,5,1.27,0.82,63.83,0.0,0
Vw15,Stationary,Fixed_Damped_Momentum,10,5,0.22,0.43,0.0,100.0,1
Vw15,Stationary,Fixed_Damped_Momentum,20,5,0.43,1.24,0.0,100.0,1
Vw15,Stationary,Fixed_Damped_Momentum,30,5,0.62,2.0,0.0,100.0,1
Vw15,Stationary,Fixed_Damped_Momentum,60,5,1.27,3.59,283.07,0.0,0
Vw15,Stationary,Pure_Kinematics,10,5,0.22,0.44,0.0,100.0,1
Vw15,Stationary,Pure_Kinematics,20,5,0.43,1.35,0.0,100.0,1
Vw15,Stationary,Pure_Kinematics,30,5,0.62,2.63,0.0,80.0,1
Vw15,Stationary,Pure_Kinematics,60,5,1.27,5.6,450.48,0.0,0
Vw15,Stationary,Static_TCN,10,5,0.22,0.21,0.0,100.0,1
Vw15,Stationary,Static_TCN,20,5,0.43,0.51,0.0,100.0,1
Vw15,Stationary,Static_TCN,30,5,0.62,0.64,0.0,100.0,1
Vw15,Stationary,Static_TCN,60,5,1.27,0.31,22.63,80.0,0
Vw16a,Mountain,Adaptive_Regime_Fusion,10,35,140.3,35.35,31.52,28.6,0
Vw16a,Mountain,Adaptive_Regime_Fusion,20,35,285.37,65.37,103.31,25.7,0
Vw16a,Mountain,Adaptive_Regime_Fusion,30,35,434.03,87.34,92.42,25.7,0
Vw16a,Mountain,Adaptive_Regime_Fusion,60,35,899.86,136.14,16.88,37.1,0
