trip,category,model,horizon_sec,n_episodes,mean_dist_m,drift_m,drift_pct,episode_pass_rate_pct,is_trip_pass
Vta25,Suburban,Static_TCN,30,1,96.39,134.5,139.54,0.0,0
Vta25,Suburban,Static_TCN,60,1,127.42,128.88,101.14,0.0,0
Vta26,Suburban,BiasCorr_Kinematics,10,9,50.68,22.32,136.58,44.4,0
Vta26,Suburban,BiasCorr_Kinematics,20,9,102.62,81.66,171.53,33.3,0
Vta26,Suburban,BiasCorr_Kinematics,30,9,146.55,155.9,344.14,22.2,0
Vta26,Suburban,BiasCorr_Kinematics,60,9,258.73,535.45,900.54,11.1,0
Vta26,Suburban,Damped_Momentum,10,9,50.68,14.71,100.11,44.4,0
Vta26,Suburban,Damped_Momentum,20,9,102.62,39.02,87.07,44.4,0
Vta26,Suburban,Damped_Momentum,30,9,146.55,65.78,138.79,22.2,0
Vta26,Suburban,Damped_Momentum,60,9,258.73,166.38,197.63,0.0,0
Vta26,Suburban,Pure_Kinematics,10,9,50.68,14.11,93.98,44.4,0
Vta26,Suburban,Pure_Kinematics,20,9,102.62,55.13,104.71,22.2,0
Vta26,Suburban,Pure_Kinematics,30,9,146.55,95.23,203.99,22.2,0
Vta26,Suburban,Pure_Kinematics,60,9,258.73,292.84,574.65,0.0,0
Vta26,Suburban,Static_TCN,10,9,50.68,14.65,39.46,33.3,0
Vta26,Suburban,Static_TCN,20,9,102.62,27.34,31.25,44.4,0
Vta26,Suburban,Static_TCN,30,9,146.55,38.0,48.89,22.2,0
Vta26,Suburban,Static_TCN,60,9,258.73,87.21,70.82,0.0,0
Vta27,Suburban,BiasCorr_Kinematics,10,13,127.96,34.45,24.79,23.1,0
Vta27,Suburban,BiasCorr_Kinematics,20,13,261.76,131.53,53.44,15.4,0
Vta27,Suburban,BiasCorr_Kinematics,30,13,400.98,247.2,63.69,15.4,0
Vta27,Suburban,BiasCorr_Kinematics,60,13,818.93,740.35,90.3,0.0,0
Vta27,Suburban,Damped_Momentum,10,13,127.96,21.81,16.31,38.5,0
Vta27,Suburban,Damped_Momentum,20,13,261.76,58.77,28.13,38.5,0
Vta27,Suburban,Damped_Momentum,30,13,400.98,99.81,28.81,30.8,0
Vta27,Suburban,Damped_Momentum,60,13,818.93,167.34,21.3,30.8,0
Vta27,Suburban,Pure_Kinematics,10,13,127.96,28.31,19.82,30.8,0
Vta27,Suburban,Pure_Kinematics,20,13,261.76,92.8,34.6,15.4,0
Vta27,Suburban,Pure_Kinematics,30,13,400.98,158.11,40.72,7.7,0
Vta27,Suburban,Pure_Kinematics,60,13,818.93,306.46,37.18,30.8,0
Vta27,Suburban,Static_TCN,10,13,127.96,31.21,23.41,46.2,0
Vta27,Suburban,Static_TCN,20,13,261.76,64.87,28.88,46.2,0
Vta27,Suburban,Static_TCN,30,13,400.98,85.15,24.58,38.5,0
Vta27,Suburban,Static_TCN,60,13,818.93,104.92,13.78,53.8,0
Vta28,Suburban,BiasCorr_Kinematics,10,24,98.64,35.47,39.91,20.8,0
Vta28,Suburban,BiasCorr_Kinematics,20,24,195.97,124.55,65.73,4.2,0
Vta28,Suburban,BiasCorr_Kinematics,30,24,291.78,251.4,88.36,8.3,0
Vta28,Suburban,BiasCorr_Kinematics,60,24,565.29,731.55,132.17,4.2,0
Vta28,Suburban,Damped_Momentum,10,24,98.64,28.61,41.05,25.0,0
Vta28,Suburban,Damped_Momentum,20,24,195.97,75.46,48.94,16.7,0
Vta28,Suburban,Damped_Momentum,30,24,291.78,116.8,50.06,16.7,0
Vta28,Suburban,Damped_Momentum,60,24,565.29,223.73,41.13,12.5,0
Vta28,Suburban,Pure_Kinematics,10,24,98.64,29.27,45.7,25.0,0
Vta28,Suburban,Pure_Kinematics,20,24,195.97,94.73,76.89,0.0,0
Vta28,Suburban,Pure_Kinematics,30,24,291.78,163.99,99.82,4.2,0
Vta28,Suburban,Pure_Kinematics,60,24,565.29,281.8,64.92,4.2,0
Vta28,Suburban,Static_TCN,10,24,98.64,22.52,45.31,45.8,0
Vta28,Suburban,Static_TCN,20,24,195.97,38.95,70.86,41.7,0
Vta28,Suburban,Static_TCN,30,24,291.78,50.98,39.64,50.0,0
Vta28,Suburban,Static_TCN,60,24,565.29,100.85,25.48,37.5,0
Vw12,Mountain,BiasCorr_Kinematics,10,2,264.19,13.77,5.19,100.0,1
Vw12,Mountain,BiasCorr_Kinematics,20,2,525.75,53.67,10.21,50.0,0
Vw12,Mountain,BiasCorr_Kinematics,30,2,778.07,127.0,16.36,0.0,0
Vw12,Mountain,BiasCorr_Kinematics,60,2,1500.2,568.43,37.88,0.0,0
Vw12,Mountain,Damped_Momentum,10,2,264.19,8.5,3.26,100.0,1
Vw12,Mountain,Damped_Momentum,20,2,525.75,13.89,2.65,100.0,1
Vw12,Mountain,Damped_Momentum,30,2,778.07,13.54,1.72,100.0,1
Vw12,Mountain,Damped_Momentum,60,2,1500.2,26.52,1.78,100.0,1
Vw12,Mountain,Pure_Kinematics,10,2,264.19,16.03,6.02,100.0,1
Vw12,Mountain,Pure_Kinematics,20,2,525.75,62.75,11.93,50.0,0
Vw12,Mountain,Pure_Kinematics,30,2,778.07,147.44,19.07,0.0,0
Vw12,Mountain,Pure_Kinematics,60,2,1500.2,650.32,43.4,0.0,0
Vw12,Mountain,Static_TCN,10,2,264.19,29.07,11.06,50.0,0
Vw12,Mountain,Static_TCN,20,2,525.75,52.27,9.95,50.0,1
Vw12,Mountain,Static_TCN,30,2,778.07,74.53,9.56,50.0,1
Vw12,Mountain,Static_TCN,60,2,1500.2,100.25,6.68,100.0,1
Vw14a,Mountain,BiasCorr_Kinematics,10,17,248.5,17.46,7.13,70.6,1
Vw14a,Mountain,BiasCorr_Kinematics,20,17,497.15,73.84,15.25,41.2,0
Vw14a,Mountain,BiasCorr_Kinematics,30,17,748.17,156.92,21.47,35.3,0
Vw14a,Mountain,BiasCorr_Kinematics,60,17,1511.05,515.15,34.62,29.4,0
Vw14a,Mountain,Damped_Momentum,10,17,248.5,15.42,6.18,76.5,1
Vw14a,Mountain,Damped_Momentum,20,17,497.15,49.21,9.95,58.8,1
Vw14a,Mountain,Damped_Momentum,30,17,748.17,78.79,10.56,47.1,0
Vw14a,Mountain,Damped_Momentum,60,17,1511.05,182.62,12.09,41.2,0
Vw14a,Mountain,Pure_Kinematics,10,17,248.5,10.89,4.43,94.1,1
Vw14a,Mountain,Pure_Kinematics,20,17,497.15,38.67,8.11,76.5,1
Vw14a,Mountain,Pure_Kinematics,30,17,748.17,83.2,11.46,52.9,0
Vw14a,Mountain,Pure_Kinematics,60,17,1511.05,312.63,21.06,17.6,0
Vw14a,Mountain,Static_TCN,10,17,248.5,15.57,6.09,76.5,1
Vw14a,Mountain,Static_TCN,20,17,497.15,31.78,6.3,82.4,1
Vw14a,Mountain,Static_TCN,30,17,748.17,49.62,6.53,82.4,1
Vw14a,Mountain,Static_TCN,60,17,1511.05,106.28,6.93,94.1,1
Vw14b,Mountain,BiasCorr_Kinematics,10,126,212.77,15.08,10.18,74.6,0
Vw14b,Mountain,BiasCorr_Kinematics,20,126,424.82,54.07,16.37,50.8,0
Vw14b,Mountain,BiasCorr_Kinematics,30,126,636.11,114.84,21.62,37.3,0
Vw14b,Mountain,BiasCorr_Kinematics,60,126,1264.45,427.44,37.78,19.8,0
Vw14b,Mountain,Damped_Momentum,10,126,212.77,16.04,9.45,71.4,1
Vw14b,Mountain,Damped_Momentum,20,126,424.82,40.17,11.17,64.3,0
Vw14b,Mountain,Damped_Momentum,30,126,636.11,66.85,11.96,59.5,0
Vw14b,Mountain,Damped_Momentum,60,126,1264.45,143.71,12.67,50.0,0
Vw14b,Mountain,Pure_Kinematics,10,126,212.77,16.48,11.13,72.2,0
Vw14b,Mountain,Pure_Kinematics,20,126,424.82,55.79,17.41,46.8,0
Vw14b,Mountain,Pure_Kinematics,30,126,636.11,119.21,24.01,30.2,0
Vw14b,Mountain,Pure_Kinematics,60,126,1264.45,432.82,42.48,11.9,0
Vw14b,Mountain,Static_TCN,10,126,212.77,26.42,14.09,46.8,0
Vw14b,Mountain,Static_TCN,20,126,424.82,48.05,12.6,50.8,0
Vw14b,Mountain,Static_TCN,30,126,636.11,67.36,11.63,52.4,0
Vw14b,Mountain,Static_TCN,60,126,1264.45,119.85,10.24,55.6,0
Vw15,Stationary,BiasCorr_Kinematics,10,5,0.22,0.76,0.0,100.0,1
Vw15,Stationary,BiasCorr_Kinematics,20,5,0.43,2.65,0.0,80.0,1
Vw15,Stationary,BiasCorr_Kinematics,30,5,0.62,5.08,0.0,80.0,1
Vw15,Stationary,BiasCorr_Kinematics,60,5,1.27,14.58,1139.14,0.0,0
Vw15,Stationary,Damped_Momentum,10,5,0.22,0.43,0.0,100.0,1
Vw15,Stationary,Damped_Momentum,20,5,0.43,1.24,0.0,100.0,1
Vw15,Stationary,Damped_Momentum,30,5,0.62,2.0,0.0,100.0,1
Vw15,Stationary,Damped_Momentum,60,5,1.27,3.59,283.07,0.0,0
Vw15,Stationary,Pure_Kinematics,10,5,0.22,0.44,0.0,100.0,1
Vw15,Stationary,Pure_Kinematics,20,5,0.43,1.35,0.0,100.0,1
Vw15,Stationary,Pure_Kinematics,30,5,0.62,2.63,0.0,80.0,1
Vw15,Stationary,Pure_Kinematics,60,5,1.27,5.6,450.48,0.0,0
Vw15,Stationary,Static_TCN,10,5,0.22,0.21,0.0,100.0,1
Vw15,Stationary,Static_TCN,20,5,0.43,0.51,0.0,100.0,1
Vw15,Stationary,Static_TCN,30,5,0.62,0.64,0.0,100.0,1
Vw15,Stationary,Static_TCN,60,5,1.27,0.31,22.63,80.0,0
Vw16a,Mountain,BiasCorr_Kinematics,10,35,140.3,25.18,19.6,40.0,0
Vw16a,Mountain,BiasCorr_Kinematics,20,35,285.37,101.8,183.24,17.1,0
Vw16a,Mountain,BiasCorr_Kinematics,30,35,434.03,228.69,270.85,2.9,0
Vw16a,Mountain,BiasCorr_Kinematics,60,35,899.86,721.65,90.74,11.4,0
Vw16a,Mountain,Damped_Momentum,10,35,140.3,28.11,22.68,22.9,0
Vw16a,Mountain,Damped_Momentum,20,35,285.37,70.24,144.1,20.0,0
Vw16a,Mountain,Damped_Momentum,30,35,434.03,112.96,145.2,20.0,0
Vw16a,Mountain,Damped_Momentum,60,35,899.86,211.54,25.81,22.9,0
Vw16a,Mountain,Pure_Kinematics,10,35,140.3,25.96,21.9,42.9,0
Vw16a,Mountain,Pure_Kinematics,20,35,285.37,81.56,158.41,22.9,0
Vw16a,Mountain,Pure_Kinematics,30,35,434.03,148.55,212.56,20.0,0
Vw16a,Mountain,Pure_Kinematics,60,35,899.86,388.45,51.76,5.7,0
Vw16a,Mountain,Static_TCN,10,35,140.3,40.15,36.38,17.1,0
Vw16a,Mountain,Static_TCN,20,35,285.37,65.82,95.0,22.9,0
Vw16a,Mountain,Static_TCN,30,35,434.03,88.15,84.41,25.7,0
Vw16a,Mountain,Static_TCN,60,35,899.86,136.71,16.44,34.3,0
